C_ID,CName,From_Date,To_Date,Gender,Age,State,Address,Mobile
CUST00001,Himmat Sheth,28-06-2024,26-04-2025,Male,42,West Bengal,"05/310
Taneja Path, Avadi-630443",2144558935
CUST00002,Raghav Rau,25-03-2024,13-10-2024,Other,28,Tamil Nadu,"35/93, Kumar Circle, Aurangabad-935490",5807658213
CUST00003,Suhana Bala,01-07-2023,29-01-2024,Male,19,Tamil Nadu,"H.No. 504, Tailor Zila, Saharsa-566995",3086831642
CUST00004,Purab Shetty,24-07-2024,20-04-2025,Other,60,West Bengal,"30, Joshi Street
Serampore 925802",9.14355E+11
CUST00005,Ehsaan Biswas,22-09-2023,19-08-2024,Female,40,West Bengal,"51/09
Bhatia Zila
Bidhannagar 394124",9.18931E+11
CUST00006,Saksham Mangal,11-02-2023,23-10-2023,Male,40,Maharashtra,"H.No. 31
Ray Nagar
Nagercoil 671824",2950629615
CUST00007,Suhana Sundaram,07-11-2024,23-08-2025,Male,21,Delhi,"121, Sastry Ganj, Ongole-932125",463133881
CUST00008,Sana Apte,06-12-2024,26-09-2025,Female,33,Delhi,"73/00, Johal Street, Chandrapur 319010",4890192978
CUST00009,Fateh Bora,24-06-2023,28-01-2024,Other,19,Gujarat,"61/332
Bose Road, Jehanabad-521198",6753723288
CUST00010,Kabir Gera,27-12-2023,25-12-2024,Other,40,Tamil Nadu,"H.No. 26, Rajagopal Chowk
Kharagpur-530824",7509106956
CUST00011,Aarav Cheema,27-05-2023,19-05-2024,Other,22,Tamil Nadu,"69, Yogi Ganj
Dharmavaram-674404",9.11677E+11
CUST00012,Khushi Ram,13-12-2024,15-07-2025,Other,28,Tamil Nadu,"569
Chaudhuri Path, Sirsa-816527",5330492012
CUST00013,Saira Mand,31-10-2024,14-05-2025,Other,46,Karnataka,"72/897, Kannan Nagar
Barasat-278269",9.15734E+11
CUST00014,Nayantara Agrawal,23-10-2023,13-10-2024,Other,41,Gujarat,"H.No. 601
Bhatti Circle
Jodhpur-807375",7367939250
CUST00015,Neelofar Chopra,09-02-2023,01-09-2023,Male,26,Karnataka,"61/772, Lalla Zila, Pudukkottai 900664",1632114395
CUST00016,Taimur Singh,20-02-2024,21-12-2024,Other,37,Gujarat,"H.No. 089
Agrawal Nagar, Bardhaman 100511",9160195439
CUST00017,Raunak Ravi,17-10-2023,30-06-2024,Male,41,Gujarat,"602, Choudhury Chowk
Kolkata-107807",2679604875
CUST00018,Zara Manda,01-07-2023,09-06-2024,Female,28,Karnataka,"H.No. 39, Sundaram Circle, Vellore 287497",7732572943
CUST00019,Kiaan Johal,07-09-2024,18-06-2025,Male,19,West Bengal,"H.No. 35
Walla Ganj
Kolkata 229625",9.17765E+11
CUST00020,Vivaan Divan,03-11-2023,25-06-2024,Other,50,Delhi,"H.No. 464
Shroff Ganj
Delhi 280769",8436557858
CUST00021,Anay Sood,29-01-2023,27-10-2023,Other,53,West Bengal,"H.No. 374, Gola
Morena 735263",9.16807E+11
CUST00022,Aradhya Sandhu,27-09-2024,17-08-2025,Female,25,Delhi,,1691893987
CUST00023,Madhup Dugal,17-10-2023,05-05-2024,Female,59,Gujarat,"66/32, Lad Path
Vadodara-410108",1292579351
CUST00024,Pihu Jain,16-06-2023,07-03-2024,Male,21,Karnataka,"45/35, Baria, Sagar 917595",4197267216
CUST00025,Elakshi Madan,30-06-2023,11-05-2024,Other,29,Tamil Nadu,"49/39, Divan Zila
Amaravati-552980",69383580
CUST00026,Divit Thaker,05-04-2024,30-03-2025,Male,23,Gujarat,"48/146
Ben Path, Davanagere-699190",7925952944
